location_type,climate_zone,household_size,monthly_income,electricity_kwh,natural_gas_kwh,lpg_kg,solar_kwh,renewable_energy_percent,car_km,car_fuel_efficiency,petrol_liters,diesel_liters,motorcycle_km,ev_km,ev_charging_kwh,public_transport_percent,bus_km,train_km,flight_hours,flight_distance_km,diet_type,beef_meals_month,dairy_servings_month,food_waste_kg,local_food_percent,total_waste_kg,recycled_waste_percent,composted_waste_percent,plastic_waste_kg,paper_waste_kg,home_size_sqft,ac_hours_month,heating_hours_month,shopping_trips_month,clothing_items_month,electronics_items_year,tree_planting_year,carbon_emission_kg
urban,moderate,5.0,50306.83,214.07,146.91,15.21,255.97,100.0,0.0,10.79,0.0,0.0,0.0,0.0,0.0,27.65,24.3,109.6,2.88,2344.07,non_vegetarian,9.0,16.0,6.64,33.17,9.25,68.43,17.01,1.67,0.81,1441.4,45.12,6.46,0.0,5.0,1.0,0.0,749.76
rural,hot,4.0,28249.14,253.86,97.91,3.67,0.0,0.0,398.06,16.52,19.97,4.13,1532.23,0.0,0.0,23.08,55.93,101.21,0.28,188.58,,0.0,24.0,1.5,69.17,21.17,39.36,38.18,4.23,3.46,1752.03,72.23,7.42,0.0,2.0,0.0,0.0,498.7
suburban,cool,4.0,49580.92,303.95,252.49,5.05,0.0,0.0,786.71,12.42,46.11,17.23,600.23,660.35,111.34,0.0,0.0,48.14,2.71,1969.42,mixed,4.0,14.0,9.95,95.41,16.8,67.62,41.29,4.1,2.29,1080.76,7.46,78.37,2.0,0.0,0.0,2.0,955.44
rural,hot,4.0,25700.89,328.46,30.37,5.44,84.9,19.56,1717.55,14.91,90.08,25.1,125.4,0.0,0.0,12.09,,32.6,2.07,1623.59,mixed,3.0,19.0,0.92,100.0,15.81,64.81,14.07,1.74,1.43,1627.9,156.45,1.74,1.0,2.0,1.0,1.0,885.09
urban,moderate,2.0,49521.5,90.44,81.93,2.76,346.58,100.0,0.0,11.87,0.0,0.0,0.0,155.45,33.93,62.26,489.94,32.84,1.46,1109.19,vegetarian,0.0,15.0,8.69,39.86,13.83,71.21,22.44,3.12,1.37,709.23,9.11,6.03,0.0,4.0,0.0,0.0,213.9
rural,moderate,2.0,84121.22,123.36,18.09,19.23,0.0,3.08,0.0,17.27,0.0,0.0,0.0,0.0,0.0,25.38,59.95,8.12,1.64,1184.66,non_vegetarian,9.0,20.0,6.3,37.01,10.95,81.82,27.45,2.33,1.36,457.11,16.26,5.02,0.0,5.0,2.0,0.0,537.73
urban,hot,2.0,14630.07,258.4,157.57,4.12,0.0,0.0,323.53,15.56,16.59,4.2,0.0,0.0,0.0,27.02,125.83,61.08,6.06,3964.04,mixed,1.0,18.0,1.52,58.59,7.29,76.35,19.39,1.5,0.75,797.11,202.31,7.18,1.0,2.0,1.0,1.0,1076.58
urban,hot,2.0,8000.0,338.77,0.3,5.59,0.0,4.92,0.0,16.8,0.0,0.0,0.0,0.0,0.0,46.89,262.36,169.08,0.67,549.14,non_vegetarian,6.0,14.0,6.19,54.01,6.97,60.18,23.54,1.14,0.98,352.7,64.26,,1.0,0.0,1.0,0.0,536.29
suburban,hot,4.0,8000.0,244.28,83.37,1.94,287.25,100.0,1202.65,11.64,78.5,24.82,0.0,0.0,0.0,0.0,,12.26,2.28,1663.19,mixed,0.0,21.0,13.99,56.92,29.11,23.87,13.5,7.21,4.59,1511.56,127.47,2.17,1.0,4.0,0.0,0.0,743.66
suburban,cool,1.0,20369.02,148.47,223.35,5.44,63.22,48.27,358.73,,16.82,3.34,820.09,0.0,0.0,1.56,3.1,153.61,1.43,1196.07,,0.0,0.0,1.26,63.62,3.91,92.74,28.32,0.64,0.57,340.46,12.11,110.42,1.0,1.0,2.0,2.0,454.13
urban,cool,3.0,75369.83,188.04,135.35,,462.99,100.0,730.26,19.21,26.67,11.35,361.87,0.0,0.0,36.37,168.88,57.18,1.49,1016.43,non_vegetarian,5.0,21.0,6.16,37.51,47.1,49.13,23.68,6.29,4.98,971.62,54.71,97.94,2.0,3.0,0.0,2.0,389.78
urban,moderate,3.0,45812.92,130.71,78.03,27.48,146.43,94.58,0.0,15.14,0.0,0.0,0.0,0.0,0.0,55.65,168.93,76.77,8.59,5808.29,vegetarian,0.0,18.0,1.78,43.17,16.53,85.91,33.98,3.25,3.02,1224.11,17.22,2.57,2.0,2.0,1.0,,1165.88
suburban,cool,3.0,16671.48,233.88,316.68,9.18,0.0,3.06,904.23,17.95,33.39,,302.11,0.0,0.0,19.91,97.83,835.69,0.04,35.42,vegetarian,0.0,,3.19,44.86,18.23,89.36,21.55,1.93,3.07,1495.26,62.71,134.13,1.0,,0.0,1.0,520.82
urban,hot,3.0,38730.02,154.05,94.06,1.87,134.78,93.67,762.48,15.99,31.54,16.13,0.0,0.0,0.0,44.38,179.75,49.9,2.89,2375.68,vegetarian,0.0,25.0,4.63,48.23,10.47,52.26,22.5,1.24,1.79,1116.93,105.56,0.65,2.0,4.0,0.0,1.0,648.62
urban,moderate,2.0,60963.44,85.64,86.91,12.89,329.41,100.0,336.7,16.47,16.45,3.99,132.29,0.0,0.0,61.15,91.75,37.42,2.79,2097.2,non_vegetarian,6.0,17.0,4.16,78.05,15.0,,39.46,3.15,0.76,1356.38,11.68,10.18,1.0,1.0,1.0,1.0,490.74
,hot,3.0,40758.44,240.27,50.03,16.43,373.57,100.0,0.0,16.53,0.0,0.0,0.0,0.0,0.0,25.78,87.5,144.98,5.4,3834.19,vegetarian,0.0,14.0,1.84,70.16,4.31,67.7,11.59,1.04,0.67,,109.02,11.86,1.0,0.0,0.0,0.0,762.36
suburban,moderate,6.0,32022.28,181.65,158.77,4.31,0.0,9.78,871.78,18.0,28.55,19.87,0.0,133.24,29.42,10.24,15.08,153.47,3.0,2340.31,vegetarian,0.0,20.0,16.92,56.22,28.11,65.96,19.89,6.75,5.34,1886.61,61.11,2.83,0.0,2.0,1.0,1.0,843.36
urban,hot,6.0,23347.53,391.0,1.65,11.08,0.0,0.34,0.0,16.09,0.0,0.0,271.15,0.0,0.0,59.81,219.57,,3.87,3036.72,vegetarian,0.0,20.0,10.97,76.84,36.46,36.4,8.45,8.93,6.22,1947.92,173.75,1.42,0.0,1.0,0.0,0.0,1058.85
rural,moderate,3.0,145639.56,114.54,,,200.58,100.0,,15.36,0.0,0.0,0.0,0.0,0.0,11.39,66.2,1629.67,1.84,1317.96,mixed,4.0,19.0,3.3,29.33,7.02,52.23,44.83,1.47,1.11,1539.35,64.91,4.38,8.0,7.0,3.0,1.0,450.85
suburban,hot,4.0,23674.85,299.36,7.51,7.49,0.0,0.0,0.0,17.99,0.0,0.0,260.59,0.0,0.0,15.91,49.08,66.85,1.02,690.05,vegan,0.0,0.0,2.17,32.99,19.8,46.8,12.15,2.77,2.99,1074.61,158.3,5.64,1.0,1.0,2.0,1.0,433.28
urban,hot,1.0,79982.33,275.6,,4.69,,0.0,0.0,16.93,0.0,0.0,252.68,717.42,145.21,54.65,130.94,25.87,2.74,2102.83,mixed,4.0,19.0,0.51,66.87,2.15,67.13,29.13,0.25,0.26,925.87,159.76,0.53,1.0,2.0,5.0,0.0,823.08
suburban,cool,2.0,35758.07,294.71,703.44,3.55,108.76,33.44,800.69,13.81,39.99,18.01,0.0,0.0,0.0,8.53,35.63,110.95,1.11,921.96,non_vegetarian,5.0,26.0,3.89,55.11,8.4,97.88,7.58,1.8,0.98,755.36,8.6,76.68,0.0,5.0,0.0,2.0,724.03
rural,hot,3.0,14482.58,177.79,25.36,5.95,0.0,4.01,828.01,12.62,44.77,20.85,0.0,0.0,0.0,9.99,19.77,6.57,0.7,532.56,vegetarian,0.0,20.0,9.42,29.69,26.82,75.28,17.3,2.88,4.38,817.25,130.04,1.13,1.0,3.0,1.0,1.0,543.6
urban,moderate,5.0,47568.96,151.45,179.95,4.55,186.98,100.0,788.42,15.93,32.11,17.38,0.0,0.0,0.0,31.98,,645.73,,3148.45,vegetarian,0.0,24.0,3.83,95.92,21.78,26.81,38.66,4.43,2.15,1208.62,46.82,1.6,1.0,3.0,2.0,0.0,880.74
suburban,hot,2.0,36436.06,201.36,91.68,33.38,0.0,0.0,154.98,17.47,6.26,2.61,78.0,0.0,0.0,0.0,0.0,84.43,,3061.28,non_vegetarian,8.0,22.0,2.99,36.65,8.59,69.16,31.01,1.27,0.74,1247.21,138.72,2.51,1.0,2.0,0.0,2.0,988.48
urban,hot,3.0,78061.49,185.06,81.66,,108.59,53.47,291.39,7.0,31.13,10.5,0.0,601.43,142.4,37.48,189.77,269.25,5.94,4555.42,mixed,3.0,19.0,3.91,65.95,4.82,16.57,31.92,,0.31,885.69,168.18,0.16,6.0,3.0,1.0,2.0,1149.64
urban,cool,7.0,94790.17,280.48,889.93,15.29,0.0,3.8,997.65,,66.95,19.7,0.0,0.0,0.0,60.83,236.83,8.31,4.21,3470.32,mixed,3.0,14.0,11.82,74.88,30.36,66.34,25.09,5.96,3.14,1775.29,18.92,96.32,3.0,0.0,1.0,0.0,1408.9
urban,moderate,3.0,125408.09,119.28,63.33,,82.04,62.53,0.0,16.84,0.0,0.0,75.84,0.0,0.0,14.21,12.61,34.63,0.25,185.86,mixed,1.0,19.0,4.28,70.09,19.93,44.1,26.54,2.78,2.56,1148.63,5.59,4.81,3.0,5.0,1.0,2.0,209.74
urban,hot,4.0,40480.15,292.12,59.08,2.51,340.44,100.0,0.0,14.44,0.0,0.0,496.57,0.0,0.0,70.06,314.15,132.51,9.78,7052.68,mixed,4.0,17.0,4.38,46.14,11.61,65.12,15.88,1.0,1.83,1393.09,237.26,5.52,0.0,2.0,2.0,1.0,1479.58
suburban,moderate,1.0,159781.09,97.51,103.91,1.78,0.0,0.0,245.44,12.54,9.42,10.16,0.0,,0.0,37.56,91.56,105.36,0.85,623.31,mixed,4.0,38.0,0.87,58.66,2.8,57.86,48.01,0.3,0.49,857.2,4.87,4.24,4.0,,4.0,1.0,358.73
rural,moderate,5.0,64908.24,304.35,85.51,16.73,0.0,7.09,0.0,16.45,0.0,0.0,275.13,0.0,0.0,0.0,0.0,42.28,6.5,4646.14,vegetarian,0.0,32.0,16.39,38.34,20.6,35.54,50.43,4.03,2.37,953.02,14.77,3.57,0.0,2.0,1.0,2.0,1300.84
suburban,moderate,4.0,48763.87,222.36,105.49,15.67,0.0,0.0,0.0,15.88,0.0,0.0,0.0,0.0,0.0,12.45,59.46,503.32,0.32,221.28,non_vegetarian,6.0,,3.98,25.97,3.47,57.39,56.15,0.85,0.58,1441.04,3.89,2.14,0.0,2.0,0.0,0.0,422.58
rural,cool,3.0,87232.82,153.83,138.17,5.34,0.0,0.0,0.0,13.0,0.0,0.0,147.99,0.0,0.0,27.0,95.2,14.91,0.16,127.14,mixed,8.0,13.0,7.4,59.81,32.36,77.15,23.68,4.35,1.69,1130.65,4.86,28.67,3.0,3.0,,2.0,339.13
urban,moderate,2.0,8000.0,86.54,15.42,18.44,0.0,6.18,0.0,13.72,0.0,0.0,0.0,0.0,0.0,72.58,257.5,22.56,2.66,1953.22,non_vegetarian,4.0,20.0,5.38,30.57,11.92,50.37,12.64,2.1,1.8,912.64,14.69,0.12,1.0,1.0,0.0,0.0,644.95
rural,cool,2.0,92721.67,169.12,,22.45,0.0,,822.84,17.59,26.53,20.24,941.59,0.0,0.0,27.49,110.42,22.83,0.54,430.45,mixed,2.0,16.0,4.48,57.55,16.61,56.9,10.8,3.29,1.76,532.24,4.58,123.14,2.0,0.0,1.0,1.0,578.18
urban,hot,3.0,25588.56,278.59,266.6,16.37,0.0,0.0,0.0,11.96,0.0,0.0,0.0,0.0,0.0,37.92,107.34,83.8,13.67,10682.27,vegetarian,0.0,26.0,3.06,81.04,26.26,64.44,10.18,6.35,,708.61,138.86,0.06,0.0,0.0,0.0,0.0,2389.05
rural,hot,4.0,78488.92,413.7,12.56,7.73,0.0,4.54,1181.62,16.34,58.1,14.24,111.22,0.0,0.0,1.38,3.81,471.2,0.44,366.16,vegan,0.0,0.0,18.29,83.27,35.97,37.41,11.73,4.86,5.29,783.73,161.08,15.48,,3.0,3.0,2.0,680.8
urban,moderate,6.0,37831.4,257.39,4.17,11.07,0.0,2.21,0.0,14.55,0.0,0.0,355.07,0.0,0.0,42.51,91.03,228.52,1.58,1261.54,mixed,1.0,21.0,27.08,37.37,18.92,32.2,29.46,4.57,1.25,1945.59,16.28,1.03,2.0,3.0,2.0,0.0,662.37
urban,cool,3.0,104596.97,278.2,203.57,2.37,0.0,0.0,550.6,11.79,25.43,21.28,162.64,0.0,0.0,,119.55,446.39,,3916.43,mixed,2.0,23.0,9.62,53.64,10.57,65.3,11.22,,0.96,1138.98,11.6,65.37,3.0,3.0,3.0,2.0,1230.79
urban,cool,4.0,27317.36,264.48,214.6,13.5,0.0,0.0,250.52,,12.25,4.04,288.85,0.0,0.0,62.62,274.52,129.61,2.42,1596.47,vegetarian,0.0,22.0,4.06,90.02,9.05,64.6,5.62,1.84,1.53,654.8,41.24,,0.0,3.0,0.0,0.0,736.66
urban,,4.0,61580.23,142.71,95.34,19.15,,6.47,0.0,15.09,0.0,0.0,976.72,0.0,0.0,29.72,176.23,208.28,0.33,216.54,mixed,3.0,23.0,2.0,59.06,9.76,90.6,17.78,1.94,1.24,,16.3,1.5,1.0,2.0,1.0,0.0,448.47
suburban,,4.0,33438.3,207.47,0.07,5.69,0.0,0.0,423.14,18.38,13.12,,919.95,0.0,0.0,39.46,58.85,130.6,0.42,324.18,mixed,2.0,20.0,2.02,67.42,12.87,31.3,6.33,1.2,1.59,1251.76,8.3,0.31,1.0,1.0,0.0,1.0,454.96
urban,moderate,4.0,15830.37,226.37,20.45,10.09,0.0,2.61,0.0,20.53,0.0,0.0,290.5,0.0,0.0,56.85,87.87,207.0,0.22,187.87,vegetarian,0.0,25.0,7.57,67.06,,55.23,14.86,3.8,2.82,1661.61,18.61,9.12,0.0,2.0,,0.0,381.83
rural,hot,5.0,27857.18,232.65,105.55,9.78,0.0,0.0,0.0,15.0,,0.0,0.0,0.0,0.0,10.66,35.77,163.31,1.46,986.73,vegetarian,0.0,19.0,12.98,54.87,12.5,63.68,19.5,2.33,,1243.76,96.29,3.35,1.0,2.0,2.0,2.0,478.6
suburban,cool,1.0,26155.84,206.09,,13.32,0.0,0.0,768.82,11.9,54.86,9.72,0.0,0.0,0.0,4.76,25.76,293.08,3.62,2725.08,non_vegetarian,12.0,22.0,1.87,30.45,2.0,,13.91,0.18,0.2,804.61,4.76,66.52,3.0,1.0,0.0,0.0,1041.83
urban,hot,5.0,42683.63,413.53,11.16,11.32,0.0,2.45,432.42,17.85,18.39,5.83,75.85,0.0,0.0,64.13,205.86,37.62,3.01,1983.51,mixed,2.0,18.0,3.02,41.06,22.59,83.63,13.72,3.3,1.88,1432.58,126.78,1.37,2.0,2.0,0.0,0.0,971.77
urban,cool,2.0,50965.53,219.5,243.54,13.8,0.0,,277.4,22.46,7.57,4.78,0.0,0.0,0.0,42.91,220.14,59.26,0.4,288.01,vegetarian,0.0,24.0,8.04,52.2,2.87,70.96,41.49,0.63,0.41,905.3,46.34,58.04,3.0,1.0,1.0,3.0,418.99
suburban,moderate,2.0,92727.55,77.46,8.56,6.82,180.82,100.0,667.31,12.55,43.99,9.19,70.82,0.0,0.0,21.98,12.81,66.15,3.3,2372.64,non_vegetarian,3.0,25.0,1.69,36.32,4.99,35.09,12.11,,0.67,1059.48,13.33,1.75,2.0,3.0,2.0,2.0,592.41
urban,hot,4.0,15473.18,388.33,41.01,7.52,107.82,26.0,0.0,19.48,0.0,0.0,0.0,0.0,0.0,70.42,166.8,205.72,2.26,1660.12,vegan,0.0,0.0,0.75,21.45,24.54,73.2,46.89,6.08,4.28,1235.17,154.75,0.5,1.0,2.0,0.0,1.0,652.04
rural,hot,1.0,26488.68,101.79,0.72,4.01,0.0,2.14,644.19,16.24,20.4,19.28,89.63,0.0,0.0,34.4,86.37,54.33,1.29,1067.33,vegetarian,,25.0,1.38,65.89,3.26,79.13,42.83,0.65,0.63,250.0,126.24,1.42,0.0,1.0,0.0,1.0,413.87
urban,,6.0,19508.47,204.69,42.47,0.49,0.0,0.0,0.0,12.23,0.0,0.0,,0.0,0.0,41.2,123.54,273.38,2.32,1928.33,mixed,2.0,26.0,9.82,67.34,24.94,85.01,42.47,4.85,1.83,1349.31,83.47,0.06,0.0,0.0,0.0,2.0,717.15
urban,moderate,4.0,132104.78,293.19,31.63,11.58,0.0,0.0,276.45,9.2,20.4,9.63,0.0,0.0,0.0,39.58,148.44,98.64,1.28,906.81,mixed,7.0,19.0,5.14,28.17,20.0,39.02,13.42,3.3,3.11,1568.92,18.83,2.72,6.0,6.0,1.0,0.0,687.97
urban,cool,4.0,52526.55,179.72,275.6,7.29,169.14,91.09,0.0,14.06,0.0,0.0,138.17,0.0,0.0,17.87,127.09,56.1,1.24,1054.37,non_vegetarian,6.0,22.0,9.67,63.28,8.72,66.13,12.83,1.73,1.68,1441.37,39.08,51.36,2.0,7.0,2.0,1.0,534.41
urban,hot,1.0,43842.94,204.6,49.56,7.62,166.63,70.55,0.0,11.91,0.0,0.0,0.0,0.0,0.0,49.06,65.68,35.03,0.25,184.66,mixed,,19.0,0.69,49.29,3.35,,24.53,0.48,0.24,567.95,128.81,2.28,1.0,1.0,1.0,1.0,206.07
rural,cool,4.0,27383.77,247.98,154.55,16.23,0.0,,806.98,12.72,51.59,11.86,923.41,0.0,0.0,13.09,24.15,32.9,4.87,3998.0,non_vegetarian,8.0,18.0,8.32,47.29,12.81,53.85,40.28,3.11,2.25,1307.87,14.03,132.87,0.0,,1.0,0.0,1405.56
urban,moderate,3.0,14293.65,273.61,,3.11,0.0,0.0,0.0,13.27,0.0,0.0,0.0,0.0,0.0,23.65,92.56,36.09,3.47,2823.3,mixed,0.0,24.0,5.61,100.0,30.2,72.69,11.64,7.1,5.66,1302.43,10.3,1.5,1.0,0.0,0.0,1.0,819.49
urban,hot,,16701.03,218.14,,9.38,0.0,3.68,760.21,12.45,47.36,13.69,376.08,0.0,0.0,54.27,274.39,194.9,1.64,1338.62,vegetarian,0.0,20.0,2.13,13.06,3.71,,31.58,0.91,0.27,971.29,244.97,1.36,4.0,2.0,0.0,1.0,739.43
urban,hot,2.0,8000.0,212.91,13.47,22.06,0.0,0.0,552.74,12.52,32.63,11.5,0.0,0.0,0.0,22.58,,55.37,0.74,613.01,non_vegetarian,6.0,26.0,2.16,20.11,7.0,,35.72,1.7,,1078.37,236.36,0.49,1.0,1.0,0.0,3.0,581.7
urban,hot,4.0,30511.23,361.52,12.25,0.51,0.0,3.61,0.0,15.82,0.0,0.0,144.77,0.0,0.0,44.15,62.87,282.83,1.56,1287.99,mixed,2.0,23.0,5.8,54.26,25.89,36.1,26.18,3.51,1.93,1468.34,25.87,4.52,0.0,,0.0,1.0,628.56
urban,hot,2.0,9729.83,364.99,68.5,10.04,181.66,47.06,0.0,11.61,0.0,0.0,89.92,0.0,0.0,39.89,318.18,172.37,15.87,11901.11,mixed,8.0,17.0,7.85,42.63,5.26,72.63,25.24,1.16,,925.12,83.81,0.29,0.0,0.0,0.0,,2386.86
urban,hot,4.0,75809.99,330.8,161.35,22.4,0.0,3.02,0.0,12.6,0.0,0.0,82.19,0.0,0.0,48.21,269.66,30.41,2.13,1526.01,vegan,0.0,0.0,5.68,78.02,27.96,6.09,54.86,4.57,2.01,1650.25,26.4,23.07,5.0,1.0,0.0,1.0,731.3
suburban,moderate,3.0,71783.37,160.76,13.5,0.39,393.01,100.0,222.15,13.6,7.37,8.97,0.0,0.0,0.0,14.82,26.44,180.03,7.73,5290.61,mixed,0.0,22.0,2.24,88.67,14.14,73.68,10.11,1.53,0.92,521.54,28.56,2.32,2.0,1.0,1.0,0.0,983.09
urban,hot,3.0,198460.21,221.77,1.31,5.39,0.0,7.91,439.04,17.4,18.84,6.4,0.0,0.0,0.0,59.52,445.87,240.97,4.04,3404.34,vegetarian,0.0,15.0,0.79,68.84,,42.83,13.01,0.78,0.78,701.66,101.34,8.64,6.0,5.0,3.0,3.0,1016.96
suburban,hot,6.0,58939.98,424.53,27.27,3.78,0.0,0.0,147.64,14.3,7.77,2.56,0.0,0.0,0.0,20.49,12.28,390.47,0.02,12.41,mixed,2.0,21.0,1.81,47.4,53.92,47.56,19.65,10.21,4.89,1675.16,104.18,1.74,1.0,2.0,0.0,0.0,517.68
rural,moderate,5.0,71741.52,217.12,38.39,17.58,0.0,0.0,0.0,15.94,0.0,0.0,87.64,0.0,0.0,3.06,2.68,178.94,0.09,67.62,vegetarian,0.0,23.0,4.87,46.59,20.06,39.03,15.9,1.78,2.14,1575.08,23.92,2.69,3.0,5.0,1.0,0.0,331.6
