user_id,day_type,transport_mode,distance_km,electricity_kwh,renewable_usage_pct,food_type,screen_time_hours,waste_generated_kg,eco_actions,carbon_footprint_kg,carbon_impact_level,unfccc_opportunity,cbd_opportunity,unccd_opportunity
12,Weekday,EV,9.4,4.23,0,Veg,4.0,0.61,2,5.77,Low,0.4726,0.10980000000000001,0.1708
12,Weekday,EV,8.68,5.81,75,Veg,7.7,0.58,0,4.23,Low,0.3715333333333333,0.1044,0.1624
13,Weekday,Bike,14.11,5.19,25,Mixed,6.0,0.75,0,7.59,Medium,0.516675,0.135,0.20999999999999996
13,Weekday,Bus,8.95,3.44,25,Veg,3.7,0.2,0,5.07,Low,0.38800833333333334,0.036000000000000004,0.055999999999999994
13,Weekend,EV,0.5,6.25,25,Veg,3.1,1.12,0,7.21,Medium,0.38541666666666674,0.20160000000000006,0.3136
13,Weekend,Bus,0.5,3.27,0,Mixed,8.9,0.48,1,6.4,Medium,0.32615000000000005,0.0864,0.1344
13,Weekend,Bus,9.34,2.78,50,Mixed,6.2,0.1,2,4.71,Low,0.3186833333333333,0.018000000000000002,0.027999999999999997
13,Weekday,Walk,8.81,5.12,0,Non-Veg,2.5,0.58,3,9.19,Medium,0.49785833333333335,0.6544000000000001,0.4624
13,Weekday,Bike,9.62,5.87,0,Non-Veg,3.1,0.67,1,10.72,Medium,0.5354833333333333,0.6706000000000001,0.4876
14,Weekend,EV,10.14,9.52,25,Non-Veg,4.6,0.78,1,12.29,High,0.6258166666666667,0.6904000000000001,0.5184
14,Weekend,Walk,6.07,10.38,0,Non-Veg,8.3,1.02,2,14.44,High,0.6564750000000001,0.7336,0.5855999999999999
14,Weekday,Car,3.16,7.66,0,Mixed,3.0,0.97,2,10.81,Medium,0.5203666666666666,0.1746,0.27159999999999995
14,Weekday,Walk,12.73,7.8,0,Non-Veg,4.2,1.02,0,13.13,High,0.645125,0.7336,0.5855999999999999
14,Weekday,Bus,8.58,10.08,75,Non-Veg,4.4,0.94,1,8.98,Medium,0.52685,0.7192000000000001,0.5631999999999999
14,Weekday,Bike,17.15,6.56,0,Non-Veg,3.6,1.05,2,11.34,High,0.6549083333333334,0.7390000000000001,0.594
14,Weekday,Bike,15.89,5.97,0,Mixed,8.4,0.61,1,8.72,Medium,0.6175250000000001,0.10980000000000001,0.1708
15,Weekday,Walk,12.72,10.62,50,Non-Veg,2.1,1.04,2,10.3,Medium,0.6484,0.7372000000000001,0.5912
15,Weekday,Bike,14.36,9.25,25,Non-Veg,7.2,0.95,3,11.13,High,0.6686666666666666,0.7210000000000001,0.566
15,Weekend,Car,6.22,7.83,25,Mixed,4.8,0.65,1,10.01,Medium,0.51485,0.11700000000000002,0.182
15,Weekend,Bus,4.29,4.04,25,Veg,8.4,0.35,1,4.85,Low,0.3517583333333334,0.063,0.09799999999999999
15,Weekday,Bike,10.66,8.87,0,Mixed,5.2,0.63,1,11.13,High,0.6584833333333333,0.11340000000000001,0.17639999999999997
15,Weekend,Walk,4.91,5.45,25,Mixed,6.4,0.82,0,7.84,Medium,0.4112083333333334,0.1476,0.22959999999999997
15,Weekend,EV,1.93,6.79,100,Non-Veg,3.0,0.52,2,5.41,Low,0.2730916666666667,0.6436000000000001,0.4456
16,Weekday,Walk,11.34,3.03,75,Mixed,3.4,0.65,0,4.91,Low,0.30285,0.11700000000000002,0.182
16,Weekend,Car,5.87,3.46,25,Non-Veg,2.5,0.47,1,9.02,Medium,0.3502416666666667,0.6346,0.4316
16,Weekday,Car,18.02,6.68,0,Veg,3.3,0.1,3,10.19,Medium,0.6701833333333334,0.018000000000000002,0.027999999999999997
16,Weekday,Bus,7.56,7.6,0,Non-Veg,3.1,0.71,0,13.18,High,0.5731666666666666,0.6778000000000001,0.49879999999999997
16,Weekday,Walk,17.09,3.17,50,Non-Veg,2.1,0.37,0,7.25,Medium,0.42985833333333334,0.6166,0.40359999999999996
16,Weekend,Bus,3.9,5.32,50,Non-Veg,3.7,0.47,3,7.36,Medium,0.34381666666666666,0.6346,0.4316
16,Weekday,Bus,10.5,2.5,0,Veg,8.3,0.64,0,5.66,Low,0.42291666666666666,0.11520000000000001,0.17919999999999997
17,Weekday,Walk,13.3,2.26,25,Mixed,8.2,0.42,0,5.39,Low,0.3991166666666667,0.0756,0.1176
17,Weekday,Walk,16.2,6.88,0,Non-Veg,6.4,0.18,1,10.95,Medium,0.6547666666666667,0.5824,0.3504
17,Weekday,Car,4.99,3.53,75,Non-Veg,7.3,0.72,2,7.33,Medium,0.24180833333333335,0.6796,0.5016
17,Weekend,Car,5.88,5.06,50,Non-Veg,3.8,0.18,0,9.03,Medium,0.3590333333333333,0.5824,0.3504
17,Weekend,Bike,0.85,4.69,0,Mixed,2.1,0.2,2,6.79,Medium,0.38259166666666666,0.036000000000000004,0.055999999999999994
17,Weekday,Walk,14.21,4.97,50,Non-Veg,6.7,0.72,0,8.4,Medium,0.45985833333333337,0.6796,0.5016
17,Weekend,Bus,5.37,5.96,25,Veg,5.6,0.46,1,6.24,Medium,0.43565833333333337,0.08280000000000001,0.1288
18,Weekday,EV,12.79,3.94,50,Veg,4.1,0.38,1,4.19,Low,0.4043416666666667,0.0684,0.10639999999999998
18,Weekday,Walk,13.97,5.93,50,Non-Veg,3.5,0.54,1,8.18,Medium,0.4920583333333334,0.6472,0.4512
18,Weekend,Bus,6.49,7.67,0,Non-Veg,2.5,0.51,2,12.12,High,0.5623583333333334,0.6418,0.44279999999999997
18,Weekday,Bike,5.77,4.88,75,Mixed,7.6,0.44,1,4.62,Low,0.3010583333333333,0.0792,0.1232
18,Weekday,EV,15.72,3.23,25,Mixed,8.1,0.61,3,5.64,Low,0.46493333333333337,0.10980000000000001,0.1708
18,Weekend,EV,4.19,6.74,25,Non-Veg,3.5,0.82,0,10.79,Medium,0.4495083333333334,0.6976,0.5296
18,Weekday,Walk,12.54,3.66,75,Mixed,8.8,0.86,4,3.69,Low,0.34095000000000003,0.1548,0.2408
19,Weekday,Walk,12.38,6.35,0,Non-Veg,2.8,0.88,1,11.37,High,0.5875833333333333,0.7084,0.5464
19,Weekday,Car,10.09,6.85,25,Non-Veg,7.5,0.75,1,12.33,High,0.5272916666666667,0.685,0.51
19,Weekend,Car,7.07,8.79,0,Non-Veg,2.2,0.85,3,14.01,High,0.6106750000000001,0.7030000000000001,0.538
19,Weekday,Car,16.26,6.25,25,Mixed,6.4,1.12,3,10.9,Medium,0.5824166666666667,0.20160000000000006,0.3136
19,Weekend,Car,12.32,6.24,0,Non-Veg,2.8,0.57,0,13.89,High,0.5828,0.6526000000000001,0.4596
19,Weekday,Walk,8.33,3.7,50,Mixed,3.5,0.6,2,4.93,Low,0.3397916666666667,0.10800000000000001,0.16799999999999998
19,Weekday,Walk,15.94,6.8,75,Veg,5.3,0.61,1,3.73,Low,0.4985833333333333,0.10980000000000001,0.1708
20,Weekday,EV,13.53,9.69,25,Mixed,3.6,1.21,0,11.46,High,0.674425,0.2178,0.3388
20,Weekend,EV,3.51,6.59,50,Non-Veg,4.5,1.17,1,9.35,Medium,0.38550833333333334,0.7606,0.6275999999999999
20,Weekend,Walk,3.72,6.6,0,Non-Veg,5.8,1.01,2,11.33,High,0.4885,0.7318,0.5828
20,Weekend,Bus,4.55,8.64,0,Non-Veg,8.2,0.99,1,13.75,High,0.573675,0.7282000000000001,0.5771999999999999
20,Weekend,EV,10.33,4.45,0,Veg,7.1,0.63,1,6.42,Medium,0.4922916666666667,0.11340000000000001,0.17639999999999997
20,Weekday,EV,14.78,5.68,0,Veg,8.0,0.19,2,6.68,Medium,0.5930166666666667,0.0342,0.05319999999999999
20,Weekend,Walk,2.52,8.82,0,Mixed,8.2,1.26,4,10.64,Medium,0.5549000000000002,0.22680000000000003,0.35279999999999995
21,Weekend,Bike,10.27,9.32,50,Mixed,7.3,0.81,1,7.89,Medium,0.5701083333333333,0.1458,0.22679999999999997
21,Weekend,EV,6.59,7.88,75,Non-Veg,5.6,0.76,0,8.29,Medium,0.42130833333333334,0.6868000000000001,0.5127999999999999
21,Weekday,Bus,15.27,4.53,100,Non-Veg,6.4,0.99,2,7.11,Medium,0.35697500000000004,0.7282000000000001,0.5771999999999999
21,Weekday,Walk,6.6,7.66,100,Mixed,4.4,1.16,2,4.09,Low,0.3633666666666666,0.2088,0.3248
21,Weekday,Bus,12.7,7.95,0,Non-Veg,4.1,0.77,1,13.56,High,0.65025,0.6886000000000001,0.5156
21,Weekday,EV,12.7,6.35,75,Mixed,8.8,0.87,2,5.55,Low,0.4415833333333333,0.15660000000000002,0.24359999999999998
21,Weekday,EV,18.26,7.09,50,Non-Veg,5.1,0.55,0,9.8,Medium,0.5882166666666667,0.649,0.45399999999999996
22,Weekday,EV,3.2,5.22,0,Non-Veg,6.8,0.97,1,10.67,Medium,0.4314,0.7246,0.5715999999999999
22,Weekday,Bus,14.6,6.88,25,Non-Veg,6.5,0.52,3,10.32,Medium,0.5847666666666667,0.6436000000000001,0.4456
22,Weekend,Car,3.23,4.81,75,Mixed,5.3,1.11,1,6.1,Medium,0.26674166666666665,0.19980000000000003,0.3108
22,Weekend,EV,7.37,7.88,50,Veg,7.9,0.95,0,6.67,Medium,0.48105833333333337,0.17099999999999999,0.26599999999999996
22,Weekend,Car,11.32,9.31,25,Veg,2.8,0.92,0,11.21,High,0.6328666666666667,0.16560000000000002,0.2576
22,Weekday,EV,9.29,10.3,0,Non-Veg,5.4,0.85,0,15.34,High,0.6937916666666667,0.7030000000000001,0.538
22,Weekend,Bike,3.28,5.92,25,Mixed,2.1,1.02,0,8.37,Medium,0.4080666666666667,0.1836,0.28559999999999997
23,Weekday,EV,21.89,4.72,0,Mixed,6.9,0.73,0,9.12,Medium,0.6466916666666667,0.13140000000000002,0.2044
23,Weekend,Bus,7.92,3.87,0,Non-Veg,8.9,0.65,0,10.08,Medium,0.44090000000000007,0.667,0.482
23,Weekend,Walk,15.61,5.57,50,Non-Veg,5.9,0.48,1,7.96,Medium,0.49935833333333335,0.6364000000000001,0.4344
23,Weekend,Car,6.15,5.29,0,Mixed,6.0,0.51,2,8.94,Medium,0.4708416666666667,0.0918,0.14279999999999998
23,Weekday,Bike,17.6,7.28,0,Non-Veg,8.6,0.67,4,10.67,Medium,0.6869333333333334,0.6706000000000001,0.4876
23,Weekend,Bike,3.41,5.82,75,Veg,5.2,0.84,2,3.41,Low,0.30602500000000005,0.1512,0.2352
23,Weekday,Walk,9.39,4.74,75,Mixed,3.5,0.76,2,4.58,Low,0.341175,0.1368,0.21279999999999996
24,Weekday,Car,9.71,6.86,0,Veg,6.8,0.82,0,10.64,Medium,0.5729083333333334,0.1476,0.22959999999999997
24,Weekday,Bike,16.36,6.59,50,Veg,7.2,0.42,2,4.4,Low,0.5461333333333334,0.0756,0.1176
24,Weekend,Walk,2.39,7.19,25,Veg,7.1,1.0,3,6.43,Medium,0.44350833333333334,0.18,0.27999999999999997
24,Weekday,EV,14.61,3.95,75,Non-Veg,3.5,1.09,1,7.8,Medium,0.3774583333333333,0.7462000000000001,0.6052
24,Weekday,Bike,17.52,7.68,0,Mixed,3.7,0.84,1,10.41,Medium,0.7006000000000001,0.1512,0.2352
24,Weekday,Walk,11.9,8.9,0,Mixed,8.1,0.95,1,11.53,High,0.6750833333333334,0.17099999999999999,0.26599999999999996
24,Weekday,Car,0.61,6.14,100,Non-Veg,3.8,0.57,1,5.91,Low,0.23275833333333334,0.6526000000000001,0.4596
25,Weekend,Car,0.5,6.49,0,Non-Veg,3.2,0.4,2,10.61,Medium,0.4442166666666667,0.6220000000000001,0.412
25,Weekday,EV,13.02,9.69,0,Non-Veg,3.2,0.98,0,15.14,High,0.7180500000000001,0.7264,0.5744
25,Weekday,Walk,15.39,9.19,25,Non-Veg,7.9,0.89,1,11.81,High,0.6793416666666667,0.7102,0.5492
25,Weekend,Bike,11.19,6.4,0,Non-Veg,5.7,0.7,1,11.19,High,0.5745416666666667,0.676,0.496
25,Weekday,Car,11.48,5.12,75,Non-Veg,4.2,0.7,0,9.8,Medium,0.38123333333333337,0.676,0.496
25,Weekday,EV,12.04,8.63,25,Mixed,5.6,0.88,2,9.55,Medium,0.6169333333333334,0.1584,0.2464
25,Weekend,Bus,2.25,8.14,50,Veg,8.8,0.87,2,5.76,Low,0.4265916666666667,0.15660000000000002,0.24359999999999998
26,Weekday,EV,9.4,6.64,50,Non-Veg,8.1,1.18,1,9.62,Medium,0.46096666666666664,0.7624000000000001,0.6304
26,Weekday,EV,12.79,7.5,50,Veg,3.5,0.56,1,5.86,Low,0.534875,0.10080000000000003,0.1568
26,Weekend,Car,12.52,8.5,50,Non-Veg,6.0,0.73,2,11.69,High,0.5681666666666667,0.6814,0.5044
26,Weekend,Bus,10.76,4.48,75,Mixed,7.3,0.72,1,5.75,Low,0.3487666666666667,0.1296,0.2016
26,Weekday,Bus,17.5,6.38,0,Veg,4.6,0.78,1,9.17,Medium,0.6526833333333333,0.14040000000000002,0.21839999999999998
26,Weekday,Bike,8.03,2.82,0,Veg,4.6,1.11,1,5.24,Low,0.403775,0.19980000000000003,0.3108
26,Weekday,Walk,16.04,8.46,25,Non-Veg,5.4,0.72,0,11.56,High,0.6607000000000001,0.6796,0.5016
27,Weekday,Bus,6.44,2.47,25,Non-Veg,5.7,0.91,3,7.42,Medium,0.3210666666666667,0.7138,0.5548
27,Weekend,Car,8.26,6.79,0,Mixed,8.5,0.69,0,11.63,High,0.5522166666666667,0.1242,0.19319999999999998
27,Weekday,EV,11.24,6.42,0,Non-Veg,5.4,0.46,1,11.37,High,0.5759000000000001,0.6328,0.42879999999999996
27,Weekend,Walk,2.06,2.0,50,Non-Veg,7.0,0.71,0,7.18,Medium,0.19908333333333333,0.6778000000000001,0.49879999999999997
27,Weekday,Bike,8.07,5.02,0,Non-Veg,6.8,0.65,1,10.01,Medium,0.4849416666666667,0.667,0.482
27,Weekday,Bus,6.66,2.56,100,Non-Veg,5.4,0.72,2,6.1,Medium,0.1771166666666667,0.6796,0.5016
27,Weekday,Bike,13.89,5.68,50,Veg,7.7,0.58,0,5.02,Low,0.4818916666666667,0.1044,0.1624
28,Weekday,Bike,13.6,8.47,75,Non-Veg,4.5,0.69,0,8.06,Medium,0.5305666666666667,0.6742,0.49319999999999997
28,Weekend,Bus,3.13,8.01,75,Non-Veg,5.0,0.61,1,7.73,Medium,0.382825,0.6598,0.4708
28,Weekend,Car,7.12,4.26,50,Non-Veg,8.0,0.81,0,9.71,Medium,0.3452,0.6958000000000001,0.5267999999999999
28,Weekend,Car,10.9,9.32,25,Non-Veg,3.6,1.04,2,13.97,High,0.6279833333333333,0.7372000000000001,0.5912
28,Weekend,Walk,0.5,4.95,25,Non-Veg,7.0,1.07,2,9.04,Medium,0.33775000000000005,0.7426,0.5995999999999999
28,Weekday,EV,13.21,5.44,25,Mixed,3.9,0.53,1,7.6,Medium,0.5145916666666668,0.09540000000000001,0.1484
28,Weekend,Bus,3.15,5.03,75,Mixed,3.6,0.75,3,4.49,Low,0.2738083333333333,0.135,0.20999999999999996
29,Weekday,EV,16.91,3.19,100,Non-Veg,6.6,0.96,1,6.93,Medium,0.3283416666666667,0.7228000000000001,0.5688
29,Weekend,Walk,7.68,6.37,0,Mixed,6.8,0.64,0,9.5,Medium,0.5295666666666667,0.11520000000000001,0.17919999999999997
29,Weekday,Car,8.34,5.51,25,Non-Veg,7.3,0.89,2,10.91,Medium,0.4562833333333334,0.7102,0.5492
29,Weekend,Walk,1.14,3.4,100,Mixed,8.5,0.56,2,3.38,Low,0.1389166666666667,0.10080000000000003,0.1568
29,Weekday,Car,9.0,5.77,50,Mixed,2.9,0.73,1,8.23,Medium,0.4240666666666667,0.13140000000000002,0.2044
29,Weekend,Walk,8.33,3.44,25,Mixed,2.6,0.45,2,5.35,Low,0.38025833333333336,0.081,0.126
29,Weekday,Bus,7.59,2.0,50,Mixed,5.6,0.63,2,4.88,Low,0.2682083333333334,0.11340000000000001,0.17639999999999997
30,Weekday,Bus,15.35,7.7,25,Veg,8.1,0.86,3,7.8,Medium,0.6242083333333334,0.1548,0.2408
30,Weekend,Bike,5.3,6.19,0,Non-Veg,6.9,0.89,2,10.84,Medium,0.4932166666666667,0.7102,0.5492
30,Weekend,EV,5.96,11.99,50,Mixed,3.2,0.82,1,9.24,Medium,0.6141333333333333,0.1476,0.22959999999999997
30,Weekday,Bus,10.51,5.76,0,Non-Veg,2.2,0.98,1,11.85,High,0.542575,0.7264,0.5744
30,Weekend,Bus,6.22,2.35,0,Veg,6.5,0.94,0,5.55,Low,0.36391666666666667,0.1692,0.2632
30,Weekday,EV,18.12,9.74,0,Veg,2.4,0.84,0,11.72,High,0.7836333333333334,0.1512,0.2352
30,Weekday,Car,17.96,6.54,0,Non-Veg,4.1,0.8,0,15.59,High,0.6643000000000001,0.6940000000000001,0.524
31,Weekend,Walk,6.06,5.38,100,Non-Veg,7.7,0.47,2,5.27,Low,0.2730166666666667,0.6346,0.4316
