user_id,day_type,transport_mode,distance_km,electricity_kwh,renewable_usage_pct,food_type,screen_time_hours,waste_generated_kg,eco_actions,carbon_footprint_kg,carbon_impact_level,action_opportunity
18,Weekday,Walk,13.97,5.93,50,Non-Veg,3.5,0.54,1,8.18,Medium,0.46142500000000003
18,Weekend,Bus,6.49,7.67,0,Non-Veg,2.5,0.51,2,12.12,High,0.525325
18,Weekday,Bike,5.77,4.88,75,Mixed,7.6,0.44,1,4.62,Low,0.26742499999999997
18,Weekday,EV,15.72,3.23,25,Mixed,8.1,0.61,3,5.64,Low,0.4974
18,Weekend,EV,4.19,6.74,25,Non-Veg,3.5,0.82,0,10.79,Medium,0.44027499999999997
18,Weekday,Walk,12.54,3.66,75,Mixed,8.8,0.86,4,3.69,Low,0.36124999999999996
19,Weekday,Walk,12.38,6.35,0,Non-Veg,2.8,0.88,1,11.37,High,0.60215
19,Weekday,Car,10.09,6.85,25,Non-Veg,7.5,0.75,1,12.33,High,0.510625
19,Weekend,Car,7.07,8.79,0,Non-Veg,2.2,0.85,3,14.01,High,0.5821750000000001
19,Weekday,Car,16.26,6.25,25,Mixed,6.4,1.12,3,10.9,Medium,0.60535
19,Weekend,Car,12.32,6.24,0,Non-Veg,2.8,0.57,0,13.89,High,0.5743999999999999
19,Weekday,Walk,8.33,3.7,50,Mixed,3.5,0.6,2,4.93,Low,0.35112499999999996
19,Weekday,Walk,15.94,6.8,75,Veg,5.3,0.61,1,3.73,Low,0.44655
20,Weekday,EV,13.53,9.69,25,Mixed,3.6,1.21,0,11.46,High,0.6472249999999999
20,Weekend,EV,3.51,6.59,50,Non-Veg,4.5,1.17,1,9.35,Medium,0.39427500000000004
20,Weekend,Walk,3.72,6.6,0,Non-Veg,5.8,1.01,2,11.33,High,0.5093
20,Weekend,Bus,4.55,8.64,0,Non-Veg,8.2,0.99,1,13.75,High,0.558875
20,Weekend,EV,10.33,4.45,0,Veg,7.1,0.63,1,6.42,Medium,0.518525
20,Weekday,EV,14.78,5.68,0,Veg,8.0,0.19,2,6.68,Medium,0.56355
20,Weekend,Walk,2.52,8.82,0,Mixed,8.2,1.26,4,10.64,Medium,0.5587
21,Weekend,Bike,10.27,9.32,50,Mixed,7.3,0.81,1,7.89,Medium,0.504575
21,Weekend,EV,6.59,7.88,75,Non-Veg,5.6,0.76,0,8.29,Medium,0.363275
21,Weekday,Bus,15.27,4.53,100,Non-Veg,6.4,0.99,2,7.11,Medium,0.36067499999999997
21,Weekday,Walk,6.6,7.66,100,Mixed,4.4,1.16,2,4.09,Low,0.3285
21,Weekday,Bus,12.7,7.95,0,Non-Veg,4.1,0.77,1,13.56,High,0.62935
21,Weekday,EV,12.7,6.35,75,Mixed,8.8,0.87,2,5.55,Low,0.41784999999999994
21,Weekday,EV,18.26,7.09,50,Non-Veg,5.1,0.55,0,9.8,Medium,0.53905
22,Weekday,EV,3.2,5.22,0,Non-Veg,6.8,0.97,1,10.67,Medium,0.472
22,Weekday,Bus,14.6,6.88,25,Non-Veg,6.5,0.52,3,10.32,Medium,0.5492
22,Weekend,Car,3.23,4.81,75,Mixed,5.3,1.11,1,6.1,Medium,0.287875
22,Weekend,EV,7.37,7.88,50,Veg,7.9,0.95,0,6.67,Medium,0.450725
22,Weekend,Car,11.32,9.31,25,Veg,2.8,0.92,0,11.21,High,0.5888
22,Weekday,EV,9.29,10.3,0,Non-Veg,5.4,0.85,0,15.34,High,0.640125
22,Weekend,Bike,3.28,5.92,25,Mixed,2.1,1.02,0,8.37,Medium,0.4285
23,Weekday,EV,21.89,4.72,0,Mixed,6.9,0.73,0,9.12,Medium,0.676425
23,Weekend,Bus,7.92,3.87,0,Non-Veg,8.9,0.65,0,10.08,Medium,0.4784
23,Weekend,Walk,15.61,5.57,50,Non-Veg,5.9,0.48,1,7.96,Medium,0.469925
23,Weekend,Car,6.15,5.29,0,Mixed,6.0,0.51,2,8.94,Medium,0.473475
23,Weekday,Bike,17.6,7.28,0,Non-Veg,8.6,0.67,4,10.67,Medium,0.6692
23,Weekend,Bike,3.41,5.82,75,Veg,5.2,0.84,2,3.41,Low,0.288725
23,Weekday,Walk,9.39,4.74,75,Mixed,3.5,0.76,2,4.58,Low,0.335475
24,Weekday,Car,9.71,6.86,0,Veg,6.8,0.82,0,10.64,Medium,0.574175
24,Weekday,Bike,16.36,6.59,50,Veg,7.2,0.42,2,4.4,Low,0.4949
24,Weekend,Walk,2.39,7.19,25,Veg,7.1,1.0,3,6.43,Medium,0.44117500000000004
24,Weekday,EV,14.61,3.95,75,Non-Veg,3.5,1.09,1,7.8,Medium,0.411325
24,Weekday,Bike,17.52,7.68,0,Mixed,3.7,0.84,1,10.41,Medium,0.6898000000000001
24,Weekday,Walk,11.9,8.9,0,Mixed,8.1,0.95,1,11.53,High,0.6527499999999999
24,Weekday,Car,0.61,6.14,100,Non-Veg,3.8,0.57,1,5.91,Low,0.176025
25,Weekend,Car,0.5,6.49,0,Non-Veg,3.2,0.4,2,10.61,Medium,0.41805000000000003
25,Weekday,EV,13.02,9.69,0,Non-Veg,3.2,0.98,0,15.14,High,0.68495
25,Weekday,Walk,15.39,9.19,25,Non-Veg,7.9,0.89,1,11.81,High,0.6348750000000001
25,Weekend,Bike,11.19,6.4,0,Non-Veg,5.7,0.7,1,11.19,High,0.5738749999999999
25,Weekday,Car,11.48,5.12,75,Non-Veg,4.2,0.7,0,9.8,Medium,0.3644
25,Weekday,EV,12.04,8.63,25,Mixed,5.6,0.88,2,9.55,Medium,0.581
25,Weekend,Bus,2.25,8.14,50,Veg,8.8,0.87,2,5.76,Low,0.385525
26,Weekday,EV,9.4,6.64,50,Non-Veg,8.1,1.18,1,9.62,Medium,0.46969999999999995
26,Weekday,EV,12.79,7.5,50,Veg,3.5,0.56,1,5.86,Low,0.479675
26,Weekend,Car,12.52,8.5,50,Non-Veg,6.0,0.73,2,11.69,High,0.5099
26,Weekend,Bus,10.76,4.48,75,Mixed,7.3,0.72,1,5.75,Low,0.3442
26,Weekday,Bus,17.5,6.38,0,Veg,4.6,0.78,1,9.17,Medium,0.65875
26,Weekday,Bike,8.03,2.82,0,Veg,4.6,1.11,1,5.24,Low,0.495575
26,Weekday,Walk,16.04,8.46,25,Non-Veg,5.4,0.72,0,11.56,High,0.6148
27,Weekday,Bus,6.44,2.47,25,Non-Veg,5.7,0.91,3,7.42,Medium,0.3902
27,Weekend,Car,8.26,6.79,0,Mixed,8.5,0.69,0,11.63,High,0.54425
27,Weekday,EV,11.24,6.42,0,Non-Veg,5.4,0.46,1,11.37,High,0.5557000000000001
27,Weekend,Walk,2.06,2.0,50,Non-Veg,7.0,0.71,0,7.18,Medium,0.24755
27,Weekday,Bike,8.07,5.02,0,Non-Veg,6.8,0.65,1,10.01,Medium,0.503275
27,Weekday,Bus,6.66,2.56,100,Non-Veg,5.4,0.72,2,6.1,Medium,0.19205
27,Weekday,Bike,13.89,5.68,50,Veg,7.7,0.58,0,5.02,Low,0.458625
28,Weekday,Bike,13.6,8.47,75,Non-Veg,4.5,0.69,0,8.06,Medium,0.45709999999999995
28,Weekend,Bus,3.13,8.01,75,Non-Veg,5.0,0.61,1,7.73,Medium,0.310625
28,Weekend,Car,7.12,4.26,50,Non-Veg,8.0,0.81,0,9.71,Medium,0.364
28,Weekend,Car,10.9,9.32,25,Non-Veg,3.6,1.04,2,13.97,High,0.59335
28,Weekend,Walk,0.5,4.95,25,Non-Veg,7.0,1.07,2,9.04,Medium,0.37835
28,Weekday,EV,13.21,5.44,25,Mixed,3.9,0.53,1,7.6,Medium,0.5038250000000001
28,Weekend,Bus,3.15,5.03,75,Mixed,3.6,0.75,3,4.49,Low,0.262475
29,Weekday,EV,16.91,3.19,100,Non-Veg,6.6,0.96,1,6.93,Medium,0.35197500000000004
29,Weekend,Walk,7.68,6.37,0,Mixed,6.8,0.64,0,9.5,Medium,0.5246000000000001
29,Weekday,Car,8.34,5.51,25,Non-Veg,7.3,0.89,2,10.91,Medium,0.47314999999999996
29,Weekend,Walk,1.14,3.4,100,Mixed,8.5,0.56,2,3.38,Low,0.12705
29,Weekday,Car,9.0,5.77,50,Mixed,2.9,0.73,1,8.23,Medium,0.4113
29,Weekend,Walk,8.33,3.44,25,Mixed,2.6,0.45,2,5.35,Low,0.396425
29,Weekday,Bus,7.59,2.0,50,Mixed,5.6,0.63,2,4.88,Low,0.31027499999999997
30,Weekday,Bus,15.35,7.7,25,Veg,8.1,0.86,3,7.8,Medium,0.6021749999999999
30,Weekend,Bike,5.3,6.19,0,Non-Veg,6.9,0.89,2,10.84,Medium,0.51125
30,Weekend,EV,5.96,11.99,50,Mixed,3.2,0.82,1,9.24,Medium,0.5049
30,Weekday,Bus,10.51,5.76,0,Non-Veg,2.2,0.98,1,11.85,High,0.574975
30,Weekend,Bus,6.22,2.35,0,Veg,6.5,0.94,0,5.55,Low,0.44995
30,Weekday,EV,18.12,9.74,0,Veg,2.4,0.84,0,11.72,High,0.7385
30,Weekday,Car,17.96,6.54,0,Non-Veg,4.1,0.8,0,15.59,High,0.6693
31,Weekend,Walk,6.06,5.38,100,Non-Veg,7.7,0.47,2,5.27,Low,0.22094999999999998
31,Weekend,Bike,9.65,4.23,25,Non-Veg,4.9,0.74,3,7.79,Medium,0.45192499999999997
31,Weekday,EV,9.69,2.03,0,Mixed,3.8,0.67,1,5.96,Low,0.465325
31,Weekend,Car,7.57,6.66,0,Non-Veg,5.8,0.9,2,12.83,High,0.549825
31,Weekday,Bike,7.23,6.62,0,Veg,7.2,0.32,1,7.41,Medium,0.498375
31,Weekday,Bike,10.22,7.2,100,Mixed,7.5,0.82,1,4.09,Low,0.33735000000000004
31,Weekday,Car,5.6,5.96,75,Veg,2.3,0.76,3,4.11,Low,0.3125
32,Weekday,EV,15.69,6.47,0,Mixed,7.2,0.6,2,9.35,Medium,0.623525
32,Weekend,EV,6.95,5.59,0,Non-Veg,2.5,0.59,0,11.07,High,0.495875
32,Weekend,Car,11.2,8.57,50,Veg,3.3,0.62,0,8.6,Medium,0.486
32,Weekend,Car,7.13,5.14,50,Mixed,3.9,0.87,1,7.75,Medium,0.386525
32,Weekend,Walk,11.24,6.92,50,Veg,6.5,0.56,1,5.11,Low,0.44870000000000004
32,Weekend,Bus,11.82,9.65,50,Mixed,7.7,0.58,2,8.29,Medium,0.51215
32,Weekday,Bus,13.44,4.53,25,Mixed,6.3,0.35,1,7.39,Medium,0.47409999999999997
33,Weekend,Car,6.84,4.34,50,Non-Veg,4.0,0.6,2,8.64,Medium,0.3453
33,Weekend,Walk,7.06,4.19,75,Veg,7.1,0.86,2,3.09,Low,0.30335
33,Weekday,Bus,13.31,4.69,75,Mixed,2.3,0.52,2,5.35,Low,0.364275
33,Weekday,Bus,11.66,6.87,50,Non-Veg,5.8,0.55,1,9.5,Medium,0.45215
33,Weekend,Bus,8.26,2.0,50,Veg,8.1,0.8,0,4.44,Low,0.33225
33,Weekend,Car,8.69,4.19,0,Veg,7.1,0.54,1,7.5,Medium,0.48562500000000003
33,Weekday,Car,17.15,3.88,0,Mixed,5.9,0.68,0,11.1,High,0.596375
34,Weekday,EV,17.79,5.98,0,Non-Veg,7.3,0.93,0,12.23,High,0.6663749999999999
34,Weekday,Bike,8.86,6.65,100,Non-Veg,4.6,0.46,1,5.65,Low,0.28055
34,Weekday,Bus,10.25,8.59,75,Veg,6.2,0.56,1,4.85,Low,0.407225
34,Weekend,EV,0.5,7.75,50,Veg,2.7,0.53,1,5.43,Low,0.32865
34,Weekday,Walk,22.23,8.26,25,Non-Veg,6.2,1.04,2,11.03,High,0.713775
34,Weekday,Bike,11.97,7.84,0,Veg,2.4,0.86,2,8.67,Medium,0.6252249999999999
34,Weekend,Bike,3.4,3.42,0,Veg,5.0,0.6,0,5.53,Low,0.4089
35,Weekend,Bus,12.05,6.13,100,Non-Veg,8.5,0.38,2,6.12,Medium,0.303625
35,Weekend,Bus,13.42,7.06,25,Veg,6.0,0.52,1,7.64,Medium,0.53805
35,Weekend,EV,0.5,2.88,0,Veg,2.2,0.48,1,4.55,Low,0.35225
35,Weekend,EV,9.09,6.85,75,Mixed,3.3,0.54,2,5.12,Low,0.356325
35,Weekend,Walk,5.89,8.18,25,Mixed,7.1,0.46,1,8.69,Medium,0.461525
35,Weekend,Bike,7.88,6.37,100,Mixed,2.5,0.83,0,4.49,Low,0.2923
35,Weekday,Car,8.09,3.39,0,Non-Veg,8.3,0.41,2,9.68,Medium,0.451725
36,Weekday,Bus,8.31,3.49,0,Non-Veg,8.3,0.51,0,9.64,Medium,0.464475
36,Weekend,Bike,0.5,6.03,0,Veg,8.3,0.53,1,7.18,Medium,0.41925
36,Weekend,Car,8.06,2.0,50,Mixed,8.9,0.41,0,6.51,Medium,0.29855000000000004
36,Weekday,Walk,7.56,5.46,25,Mixed,5.2,0.53,1,7.1,Medium,0.4336
36,Weekend,EV,7.39,3.67,0,Mixed,8.0,0.41,1,6.89,Medium,0.448575
36,Weekend,Car,4.82,4.71,50,Veg,5.8,0.5,1,5.14,Low,0.31944999999999996
36,Weekday,Bike,8.68,3.63,25,Mixed,6.6,0.92,1,6.43,Medium,0.4422
37,Weekday,Car,11.27,8.52,0,Non-Veg,7.5,0.58,0,15.54,High,0.607675
37,Weekday,Walk,8.8,8.14,25,Mixed,3.4,0.55,3,7.97,Medium,0.5043000000000001
37,Weekend,Bike,7.27,5.99,50,Mixed,2.2,0.69,2,5.99,Low,0.390875
37,Weekend,Bus,3.06,6.58,75,Mixed,4.7,0.55,2,4.96,Low,0.27635
37,Weekend,Bike,0.5,6.41,50,Veg,6.0,0.94,2,4.96,Low,0.33465
37,Weekday,EV,14.15,6.92,50,Veg,4.2,0.54,2,5.25,Low,0.483475
37,Weekend,Car,3.81,5.12,75,Veg,6.6,0.67,1,4.25,Low,0.266125
38,Weekend,EV,1.35,7.42,100,Veg,4.9,1.14,3,2.23,Low,0.256475
38,Weekend,Bus,5.25,9.15,0,Veg,2.1,1.1,2,10.44,Medium,0.586625
38,Weekend,Walk,16.36,5.93,75,Veg,7.7,0.98,2,3.59,Low,0.46399999999999997
38,Weekend,EV,11.27,7.16,25,Mixed,4.5,1.12,1,9.3,Medium,0.561175
38,Weekday,EV,11.91,8.89,0,Veg,3.7,0.97,0,10.93,Medium,0.654275
38,Weekday,Walk,9.35,3.72,50,Mixed,6.6,0.56,3,4.49,Low,0.361075
38,Weekend,Walk,10.98,8.05,0,Mixed,6.8,0.7,0,10.94,Medium,0.60425
39,Weekday,EV,10.39,5.77,75,Mixed,4.0,0.84,1,5.71,Low,0.37497500000000006
39,Weekday,Car,16.05,6.68,75,Veg,8.1,0.3,3,5.9,Low,0.420725
39,Weekend,Bike,7.09,6.0,25,Mixed,2.8,0.22,2,6.66,Medium,0.41372499999999995
39,Weekend,Car,0.5,3.87,50,Mixed,8.4,0.55,0,5.84,Low,0.25265
39,Weekend,Bus,4.26,6.18,75,Non-Veg,7.3,0.74,0,8.0,Medium,0.29855
39,Weekend,Bus,3.89,5.49,0,Mixed,3.7,0.93,0,9.43,Medium,0.482825
39,Weekend,Bike,0.5,4.3,25,Mixed,4.1,0.77,0,7.07,Medium,0.34135
40,Weekend,Bus,2.54,8.22,25,Mixed,8.2,1.05,0,10.02,Medium,0.46765000000000007
40,Weekend,Bus,5.58,7.15,50,Non-Veg,2.2,0.88,0,9.94,Medium,0.40815
40,Weekday,Car,16.65,8.08,0,Non-Veg,2.7,1.1,4,15.34,High,0.7077249999999999
40,Weekday,Walk,1.19,8.67,0,Veg,5.0,0.97,2,9.48,Medium,0.515875
40,Weekday,Bus,17.49,9.65,50,Mixed,3.7,1.22,1,9.92,Medium,0.634225
40,Weekday,EV,10.97,3.13,50,Veg,8.7,1.17,2,4.32,Low,0.41832499999999995
